train.loss	train.raw_acc	train.mjpeg_acc	train.adv_loss	val.ssim	val.psnr	val.crop_acc	val.scale_acc	val.mjpeg_acc	epoch
0.413	0.913	0.929	NaN	0.955	42.106	0.853	0.85	0.926	83
0.39	0.92	0.93	NaN	0.959	42.117	0.843	0.836	0.919	84
0.412	0.914	0.925	NaN	0.955	42.115	0.862	0.834	0.925	85
0.398	0.919	0.93	NaN	0.958	42.117	0.866	0.835	0.923	86
0.377	0.923	0.933	NaN	0.958	42.122	0.857	0.847	0.933	87
0.372	0.924	0.933	NaN	0.956	42.116	0.867	0.849	0.93	88
0.383	0.921	0.932	NaN	0.956	42.112	0.859	0.848	0.928	89
0.373	0.924	0.935	NaN	0.957	42.124	0.85	0.853	0.925	90
0.372	0.924	0.935	NaN	0.958	42.139	0.854	0.849	0.926	91
0.384	0.92	0.933	NaN	0.956	42.135	0.861	0.864	0.928	92
0.358	0.932	0.931	NaN	0.956	42.131	0.857	0.85	0.93	93
0.374	0.923	0.935	NaN	0.956	42.138	0.86	0.847	0.924	94
0.396	0.918	0.927	NaN	0.958	42.138	0.854	0.844	0.927	95
0.35	0.933	0.934	NaN	0.958	42.129	0.854	0.841	0.933	96
0.415	0.914	0.922	NaN	0.96	42.147	0.841	0.835	0.908	97
0.377	0.927	0.928	NaN	0.958	42.125	0.862	0.844	0.929	98
0.357	0.929	0.935	NaN	0.957	42.137	0.862	0.851	0.931	99
0.37	0.925	0.935	NaN	0.956	42.144	0.865	0.855	0.934	100
0.347	0.933	0.936	NaN	0.957	42.142	0.862	0.856	0.93	101
0.36	0.928	0.934	NaN	0.957	42.125	0.858	0.843	0.928	102
0.34	0.935	0.933	NaN	0.955	42.135	0.872	0.846	0.935	103
0.329	0.938	0.936	NaN	0.956	42.146	0.872	0.85	0.939	104
0.346	0.93	0.938	NaN	0.957	42.141	0.871	0.843	0.928	105
0.354	0.927	0.935	NaN	0.956	42.138	0.863	0.858	0.936	106
0.328	0.94	0.937	NaN	0.957	42.128	0.875	0.842	0.931	107
0.332	0.937	0.936	NaN	0.958	42.134	0.879	0.85	0.933	108
0.337	0.933	0.937	NaN	0.957	42.13	0.875	0.827	0.931	109
0.365	0.928	0.931	NaN	0.957	42.134	0.871	0.852	0.927	110
0.335	0.935	0.936	NaN	0.957	42.131	0.869	0.85	0.935	111
0.317	0.942	0.938	NaN	0.958	42.135	0.864	0.836	0.931	112
0.36	0.927	0.933	NaN	0.957	42.149	0.853	0.847	0.926	113
0.348	0.932	0.932	NaN	0.957	42.135	0.864	0.855	0.931	114
0.307	0.945	0.938	NaN	0.956	42.14	0.88	0.858	0.937	115
0.324	0.939	0.935	NaN	0.957	42.158	0.866	0.852	0.931	116
0.357	0.927	0.934	NaN	0.956	42.137	0.862	0.843	0.935	117
0.309	0.944	0.939	NaN	0.956	42.138	0.868	0.837	0.939	118
0.321	0.94	0.937	NaN	0.957	42.132	0.876	0.861	0.939	119
0.353	0.928	0.935	NaN	0.959	42.15	0.861	0.848	0.929	120
0.322	0.94	0.937	NaN	0.957	42.139	0.859	0.847	0.935	121
0.331	0.935	0.937	NaN	0.958	42.137	0.867	0.857	0.932	122
0.321	0.939	0.94	NaN	0.956	42.149	0.871	0.834	0.938	123
0.309	0.942	0.94	NaN	0.958	42.153	0.862	0.855	0.933	124
0.331	0.937	0.935	NaN	0.957	42.136	0.861	0.842	0.932	125
